source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val
65614288398761984,58.42758029832761,0.06410374860283427,23.206563652187477,0.03060246520195211,0.991117464380257,0.06613318657842454,-4.9762786209771805,0.029928952230535415,16.279419,16.866247,15.548361,1.3178864,,,NOT_AVAILABLE,4740.3325,0.542,0.7779824,0.2753401
65748527598862592,58.78043496547564,0.0961353231759177,23.70502992804136,0.05088071138498873,1.0853862046595366,0.1047801687330154,14.952919801339291,1.8774945727806847,17.128313,17.958439,16.207712,1.7507267,,,NOT_AVAILABLE,,,,
65680740132626048,58.00421872016458,0.03241581128790562,23.360549896000283,0.014118754751021064,0.746866204455416,0.0349127007481827,2.378423060908898,-3.8167966313000066,14.181806,14.492586,13.698625,0.7939615,,,NOT_AVAILABLE,5878.75,,1.6187682,2.8197074
65723414927640960,58.311323510246226,0.03975758995629475,23.881338523474984,0.019825340444713305,1.8147967410230101,0.04051535820721403,4.331777807819392,-16.133006208811157,14.389797,14.906994,13.720138,1.1868563,,,NOT_AVAILABLE,4867.5,0.487,0.94514316,0.4517662
65670707089153024,58.174854921690226,0.0979065128735353,23.39881790826094,0.040290473384079824,4.091431100681382,0.10862167009742175,19.09176710583047,-16.819547446891107,16.596397,17.884848,15.47092,2.413928,,,NOT_AVAILABLE,3417.0,0.055,,
65723380567903104,58.30438559325556,0.038344995380993945,23.872944293640504,0.018017146368932355,0.41535256351336947,0.04013225436101685,2.8946977643849916,-0.09604591703874789,12.80194,13.427158,12.055923,1.3712349,-1.072095763281757,0.6522577803534051,NOT_AVAILABLE,4982.447,0.311,8.076996,36.221394
65670122973593984,58.25045286415551,0.0489132261778535,23.39742924502069,0.019117765381729677,1.8087816491820212,0.05255757020260837,-4.674613550681503,-5.452421016986948,12.533925,12.851859,12.047085,0.8047743,23.187456351186846,2.441595954525806,NOT_AVAILABLE,5883.75,0.4422,1.4250337,2.1926122
65722109257583744,58.29019702277886,0.040516750776546546,23.86754961484108,0.019819411029220593,1.1659009087280434,0.04259303925994362,-3.2317672914943802,-11.412986594947375,9.263098,10.087443,8.407838,1.6796055,-56.19774874114623,0.214233544105314,NOT_AVAILABLE,4154.99,0.355,24.70426,163.87715
65695579242097664,58.261399069992,0.221437332292417,23.515719585818896,0.10449954027658978,2.8735914041868065,0.2594987341344085,5.517322445334261,-8.344433476437363,18.365278,19.799671,17.15384,2.645832,,,NOT_AVAILABLE,,,,
65677579036713600,57.710650648400005,0.11783717928125687,23.343863537625015,0.0553526435880996,11.343894716182428,0.1269460971317339,76.62348317642372,-84.88470050757527,17.366024,19.279587,16.030252,3.2493343,,,NOT_AVAILABLE,,,,
65724132184880128,58.33081713533915,0.18735214969163277,23.914924160773094,0.09729279312112535,2.7404482679016082,0.1921080348519968,-15.345147037602938,-36.71428099568966,18.254606,19.533413,17.067196,2.466217,,,NOT_AVAILABLE,,,,
65617964890772224,58.32677607865962,0.03231570803516819,23.24058176687125,0.012835229039943255,2.3831770350017947,0.03415614048421725,-16.45609446627411,-12.986897076857723,14.022957,14.573001,13.334649,1.2383518,,,NOT_AVAILABLE,5114.0,0.5127,0.751439,0.34795657
