Frequency (GHz)      Flux (Jy)
     42.5233852     -0.0146978
     42.5236352      0.0186895
     42.5238852      0.0011001
     42.5241352     -0.0071992
     42.5243852      0.0150656
     42.5246352      0.0209568
     42.5248852      0.0368041
     42.5251352      0.0062900
     42.5253852     -0.0051530
     42.5256352     -0.0364000
     42.5258852      0.0196164
     42.5261352      0.0236811
     42.5263852     -0.0074553
     42.5266352      0.0278145
     42.5268852     -0.0247228
     42.5271352      0.0118197
     42.5273852      0.0068600
     42.5276352     -0.0127756
     42.5278852     -0.0122251
     42.5281352      0.0048690
     42.5283852      0.0102673
     42.5286352     -0.0060501
     42.5288852      0.0100741
     42.5291352      0.0104862
     42.5293852      0.0228198
     42.5296352      0.0241601
     42.5298852     -0.0209929
     42.5301352      0.0005219
     42.5303852     -0.0231023
     42.5306352     -0.0137477
     42.5308852      0.0065952
     42.5311352      0.0250525
     42.5313852      0.0268372
     42.5316352     -0.0260227
     42.5318852     -0.0166448
     42.5321352     -0.0114812
     42.5323852     -0.0103335
     42.5326352      0.0219538
     42.5328852      0.0273456
     42.5331352     -0.0259931
     42.5333852     -0.0000220
     42.5336352     -0.0280716
     42.5338852     -0.0288979
     42.5341352      0.0150649
     42.5343852     -0.0073431
     42.5346352     -0.0151670
     42.5348852      0.0080711
     42.5351352      0.0204647
     42.5353852      0.0023144
     42.5356352     -0.0184049
     42.5358852     -0.0148568
     42.5361352     -0.0120656
     42.5363852     -0.0127223
     42.5366352     -0.0107725
     42.5368852     -0.0227446
     42.5371352     -0.0082183
     42.5373852     -0.0054955
     42.5376352     -0.0078768
     42.5378852     -0.0239163
     42.5381352      0.0188875
     42.5383852      0.0049614
     42.5386352      0.0220534
     42.5388852      0.0135554
     42.5391352      0.0159288
     42.5393852     -0.0041057
     42.5396352      0.0128148
     42.5398852      0.0430097
     42.5401352     -0.0065844
     42.5403852     -0.0110931
     42.5406352      0.0082888
     42.5408852      0.0063838
     42.5411352     -0.0067793
     42.5413852      0.0093521
     42.5416352      0.0021441
     42.5418852     -0.0000440
     42.5421352      0.0381724
     42.5423852      0.0131097
     42.5426352      0.0243059
     42.5428852      0.0071104
     42.5431352      0.0048952
     42.5433852      0.0069455
     42.5436352      0.0140344
     42.5438852     -0.0206978
     42.5441352      0.0097664
     42.5443852      0.0182431
     42.5446352     -0.0066965
     42.5448852     -0.0243906
     42.5451352     -0.0179607
     42.5453852      0.0212520
     42.5456352     -0.0142510
     42.5458852     -0.0173287
     42.5461352      0.0083152
     42.5463852     -0.0042995
     42.5466352      0.0149754
     42.5468852     -0.0067977
     42.5471352     -0.0096959
     42.5473852     -0.0216683
     42.5476352      0.0136462
     42.5478852      0.0005452
     42.5481352     -0.0082634
     42.5483852      0.0280343
     42.5486352     -0.0185328
     42.5488852      0.0455191
     42.5491352      0.0253985
     42.5493852      0.0030730
     42.5496352     -0.0043323
     42.5498852     -0.0093463
     42.5501352     -0.0008522
     42.5503852      0.0037751
     42.5506352     -0.0220434
     42.5508852      0.0163939
     42.5511352      0.0315925
     42.5513852      0.0032413
     42.5516352      0.0161959
     42.5518852      0.0076521
     42.5521352     -0.0242130
     42.5523852     -0.0096961
     42.5526352     -0.0050393
     42.5528852      0.0218221
     42.5531352     -0.0044749
     42.5533852     -0.0032312
     42.5536352      0.0233452
     42.5538852     -0.0150604
     42.5541352      0.0283322
     42.5543852      0.0075083
     42.5546352     -0.0103638
     42.5548852      0.0074654
     42.5551352      0.0021416
     42.5553852      0.0357468
     42.5556352      0.0147730
     42.5558852      0.0157112
     42.5561352     -0.0186580
     42.5563852     -0.0113798
     42.5566352     -0.0034312
     42.5568852     -0.0044891
     42.5571352     -0.0058570
     42.5573852     -0.0051169
     42.5576352      0.0107617
