tphys,kstar_1,mass_1,lum_1,deltam_1,RRLO_1,kstar_2,mass_2,lum_2,deltam_2,RRLO_2,porb,sep,bin_state,merger_type,bin_num
9.028336468614583,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777371503349146,7025.414791437819,-1.391706744155073e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.038336468614583,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777371364087045,7027.683258028859,-1.392621004585099e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.048336468614583,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737122473342,7029.953537394227,-1.3935362538705213e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.058336468614582,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737108528817,7032.225630817078,-1.3944524928660513e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
9.068336468614582,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370945751198,7034.4995395818305,-1.3953697224270732e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.078336468614582,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370806122404,7036.775264974143,-1.396287943409564e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.088336468614582,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370666401689,7039.052808280929,-1.3972071566701497e-11,0.0001,-1.0,-1.0,2,-001,1002330
9.098336468614582,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370526588953,7041.332170790358,-1.3981273630660658e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
9.108336468614581,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370386684098,7043.61335379185,-1.3990485634551787e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
9.118336468614581,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370246687022,7045.896358576087,-1.3999707586959749e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
9.128336468614581,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777370106597628,7048.181186435009,-1.4008939496475426e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
9.13833646861458,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777369966415813,7050.46783866181,-1.401818137169641e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
