Frequency (GHz)      Flux (Jy)
     42.5476352      0.0386421
     42.5478852      0.0288518
     42.5481352     -0.0322091
     42.5483852      0.0016463
     42.5486352      0.0103454
     42.5488852      0.0134783
     42.5491352      0.0130978
     42.5493852     -0.0270624
     42.5496352      0.0023215
     42.5498852     -0.0146142
     42.5501352      0.0235655
     42.5503852      0.0190028
     42.5506352     -0.0479545
     42.5508852      0.0289980
     42.5511352     -0.0108212
     42.5513852     -0.0133837
     42.5516352     -0.0156801
     42.5518852     -0.0012714
     42.5521352      0.0109385
     42.5523852     -0.0104358
     42.5526352     -0.0095808
     42.5528852      0.0035673
     42.5531352     -0.0096543
     42.5533852      0.0132861
     42.5536352     -0.0127693
     42.5538852      0.0382007
     42.5541352     -0.0097483
     42.5543852     -0.0406358
     42.5546352     -0.0193014
     42.5548852     -0.0295952
     42.5551352      0.0290711
     42.5553852      0.0024221
     42.5556352     -0.0232491
     42.5558852      0.0363283
     42.5561352     -0.0055935
     42.5563852     -0.0071594
     42.5566352      0.0404026
     42.5568852     -0.0058640
     42.5571352      0.0151954
     42.5573852      0.0083351
     42.5576352      0.0055236
     42.5578852     -0.0069975
     42.5581352     -0.0069809
     42.5583852      0.0001538
     42.5586352     -0.0103096
     42.5588852     -0.0005236
     42.5591352     -0.0095795
     42.5593852      0.0108419
     42.5596352     -0.0257993
     42.5598852     -0.0335230
     42.5601352     -0.0547563
     42.5603852      0.0363639
     42.5606352      0.0248123
     42.5608852      0.0130066
     42.5611352     -0.0307989
     42.5613852     -0.0147478
     42.5616352      0.0019153
     42.5618852      0.0282364
     42.5621352     -0.0227268
     42.5623852      0.0073051
     42.5626352      0.0652883
     42.5628852     -0.0103712
     42.5631352     -0.0149140
     42.5633852      0.0150283
     42.5636352      0.0101469
     42.5638852      0.0099323
     42.5641352     -0.0120944
     42.5643852      0.0190578
     42.5646352     -0.0235493
     42.5648852      0.0186385
     42.5651352     -0.0004766
     42.5653852      0.0316693
     42.5656352     -0.0219731
