GRBname T90
GRB060319 10.288
GRB060313 0.744
GRB060312 44.656
GRB060306 60.94
GRB060223B 10.36
GRB060223A 11.32
GRB060219 62.044
GRB060211B 27.732
GRB060211A 126.46
GRB060210 288.0
GRB060206 7.552
GRB060204B 139.464
GRB060203 69.524
GRB060202 192.876
GRB060124 13.424
GRB060117 16.852
GRB060116 104.832
GRB060115 139.092
GRB060111B 58.832
GRB060111A 13.212
GRB060110 21.336
GRB060109 115.592
GRB060108 14.22
GRB060105 54.376
GRB060102 19.0
GRB051227 115.4
GRB051221B 42.572
GRB051221A 1.392
GRB051213 71.056
GRB051210 1.3
GRB051117B 9.02
GRB051117A 140.632
GRB051114 2.0
GRB051113 93.296
GRB051111 64.0
GRB051109B 15.696
GRB051109A 37.2
GRB051105A 0.05599999
GRB051021B 46.512
GRB051016B 4.0
GRB051016A 21.0
GRB051012 12.8
GRB051008 12.408
GRB051006 35.408
GRB051001 190.26
GRB050925 0.09200001
GRB050922C 4.552
GRB050922B 157.024
GRB050916 85.184
GRB050915B 43.096
GRB050915A 53.42
GRB050911 16.24
GRB050908 18.284
GRB050904 181.576
GRB050827 50.032
GRB050826 29.6
GRB050824 25.008
GRB050822 104.292
GRB050820B 12.064
GRB050820A 240.768
GRB050819 37.716
GRB050815 2.992
GRB050814 142.852
GRB050813 0.384
GRB050803 88.124
GRB050802 27.456
GRB050801 19.568
GRB050730 154.6
GRB050726 46.496
GRB050724 98.684
GRB050721 104.7
GRB050717 85.016
